UID          PID    PPID  C STIME TTY          TIME CMD
nathani+    1126     724  0 19:08 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
nathani+    1129     724  0 19:08 ?        00:00:00 /usr/libexec/ibus-portal
nathani+    1138     724  0 19:08 ?        00:00:00 /usr/libexec/xdg-permission-store
nathani+    1143     724  0 19:08 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
nathani+    1145     724  0 19:08 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
nathani+    1153     724  0 19:08 ?        00:00:00 /usr/libexec/evolution-source-registry
nathani+    1163     724  0 19:08 ?        00:00:00 /usr/libexec/evolution-calendar-factory
nathani+    1173     724  0 19:08 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
nathani+    1182     724  0 19:08 ?        00:00:00 /usr/libexec/gvfsd-metadata
nathani+    1203     724  0 19:08 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
nathani+    1209     781  0 19:08 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
nathani+    1218     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-a11y-settings
nathani+    1219     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-color
nathani+    1220     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-datetime
nathani+    1221     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-housekeeping
nathani+    1223     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-keyboard
nathani+    1224     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-media-keys
nathani+    1225     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-power
nathani+    1226     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-print-notifications
nathani+    1227     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-rfkill
nathani+    1228     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
nathani+    1229     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-sharing
nathani+    1230     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-smartcard
nathani+    1231     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-sound
